Project Name,Package Name,Package Depth,Line Length,Pachage Files
,au/com/cgu/cudos/drexextensions/service/ui/flow/common/item/custom/exposurerating/securitygrade,12,138,0
,au/com/cgu/cudos/drexextensions/service/ui/flow/common/question,9,106,0
,au/com/cgu/cudos/drexextensions/service/ui/flow/common/question/custom,10,113,0
,au/com/cgu/cudos/drexextensions/service/ui/flow/data,8,95,0
,au/com/cgu/cudos/drexextensions/service/ui/flow/data/getter,9,102,0
,au/com/cgu/cudos/drexextensions/service/ui/flow/validator,8,100,0
,au/com/cgu/cudos/drexextensions/service/ui/flow/validator/question,9,109,0
,au/com/cgu/cudos/drexextensions/service/ui/flow/validator/question/constraint,10,120,0
,au/com/cgu/cudos/drexextensions/web/ui,6,81,0
,au/com/cgu/cudos/drexextensions/web/ui/flow,7,86,0
,au/com/cgu/cudos/drexextensions/web/ui/flow/common,8,93,0
,au/com/cgu/cudos/drexextensions/web/ui/flow/common/item,9,98,0
,au/com/cgu/cudos/drexextensions/web/ui/flow/common/item/custom,10,105,0
,au/com/cgu/cudos/drexextensions/web/ui/flow/common/item/custom/address,11,113,0
,au/com/cgu/cudos/drexextensions/web/ui/flow/common/question,9,102,0
,au/com/cgu/cudos/drexextensions/web/ui/flow/common/question/comment,10,110,0
,au/com/cgu/cudos/drexextensions/web/ui/flow/common/question/custom,10,109,0
,au/com/cgu/cudos/drexextensions/web/ui/flow/common/question/custom/breakdownstate,11,124,0
,au/com/cgu/cudos/drexextensions/web/ui/flow/common/question/custom/stampdutybystate,11,126,0
,au/com/cgu/cudos/drexextensions/web/ui/flow/common/question/date,10,107,0
,au/com/cgu/cudos/drexextensions/web/ui/flow/common/question/multiplechoice,10,117,0
,au/com/cgu/cudos/drexextensions/web/ui/flow/common/question/number,10,109,0
,au/com/cgu/cudos/drexextensions/web/ui/flow/common/question/text,10,107,0

cudos/cudos-drex-xml-pd-builder/src/main/java

,au/com/cgu/cudos/xmlpdbuilder/integration/question,6,97,0
,au/com/cgu/cudos/xmlpdbuilder/service/builder,6,92,0
,au/com/cgu/cudos/xmlpdbuilder/service/initialiser,6,96,0
,au/com/cgu/cudos/xmlpdbuilder/service/workflow,6,93,0
,au/com/cgu/cudos/xmlpdbuilder/service/workflow/expression,7,104,0

cudos/cudos-libraries/core/cx/src/main/java

,au/com/cgu/object/manager/service/strategy,6,87,0

cudos/cudos-libraries/core/exceptions/src/main/java


cudos/cudos-libraries/database/crud-manager/src/main/java

,au/com/cgu/cudos/database/crud/integration,6,101,0
,au/com/cgu/cudos/database/crud/integration/create/row,8,112,0
,au/com/cgu/cudos/database/crud/integration/create/row/with,9,117,0
,au/com/cgu/cudos/database/crud/integration/create/row/without,9,120,0
,au/com/cgu/cudos/database/crud/integration/read,7,106,0
,au/com/cgu/cudos/database/crud/integration/read/metadata,8,115,0
,au/com/cgu/cudos/database/crud/integration/read/query/result,9,119,0
,au/com/cgu/cudos/database/crud/model,6,95,0
,au/com/cgu/cudos/database/crud/model/create/row,8,106,0
