Class Name,Source,Target
au.com.cgu.cudosui.sample.clean.service.ui.flow.answerprocessor.common.LocatorSelectorCreator,3,13
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.interaction.navigation.buttons.next.finaliser.FinalNextButtonDescriptorPopulator,8,16
au.com.cgu.cudosui.sample.clean.model.ui.flow.main.nongui.document.schedule.content.ScheduleItem,23,2
au.com.cgu.cudosui.sample.clean.service.ui.flow.mapper.drexpolicy.policy.to.drex.answerloader.answerers.item.custom.StateBreakdownLoadingAnswerer,12,1
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.interaction.toppanel.clauses.persister.EndorsementClausesPersister,19,1
au.com.cgu.cudosui.sample.clean.service.ui.policy.loader.mapper.special.UnstructuredAddressEntryMapper,17,0
au.com.cgu.cudosui.sample.clean.model.ui.flow.initialisation.policy.operation.initialiser.AdditionalContextValues,0,48
au.com.cgu.drex.service.flow.structure.item.preprocessor.prerendering.AbstractCustomWorkflowItemPreProcessor,2,17
au.com.cgu.cudosui.sample.clean.model.common.product.ProductOfferingsHolder,3,11
au.com.cgu.drex.web.repeatability.question.RepeatableQuestionControllerTest,16,0
au.com.cgu.drex.web.WorkflowMapControllerModelCreatorTest,15,0
au.com.cgu.cudos.document.generator.simple.WrappedTextConstants.NEW_LINE_UNIX,0,14
au.com.cgu.cudosui.sample.clean.service.ui.correspondence.policy.request.policy.risks.RiskSurveyPopulator,21,1
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.policy.builder.common.PricingDetailsAggregator,18,3
au.com.cgu.cudosui.sample.clean.model.ui.flow.customitem.correspondence.interactive.schedule.ScheduleItem,0,13
au.com.cgu.cudosui.sample.clean.model.ui.flow.main.interaction.toppanel.clauses.CxEndorsementClauseHolder,3,33
au.com.cgu.cudosui.sample.clean.model.ui.policy.structure.common.interestedparty.InterestedParty,6,29
au.com.cgu.cudosui.sample.clean.web.ui.flow.system.nongui.cee.operation.actions.suspend.SuspendReinstatementHandler,17,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.customitem.productbuilder.OutOfSequenceRiskTerminationResolver,11,0
au.com.cgu.drex.model.flow.structure.common.industry.IndustryPayloadAware,0,29
au.com.cgu.cudosui.sample.clean.service.ui.correspondence.common.request.ElementFromRequestGetter,49,34
au.com.cgu.cudosui.sample.clean.web.ui.flow.main.nongui.cee.operation.transaction.submitter.SaveReinsuranceHandler,34,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.initialisation.policy.operation.channel.staff.renewal.analysis.RenewalAnalysisPolicyInitialiser,12,0
au.com.cgu.cudosui.sample.clean.model.ui.policy.structure.location.Location,18,7
au.com.cgu.cudosui.sample.clean.model.ui.flow.main.interaction.toppanel.referrals.cx.structure.descriptor.location.ReferralLocation,0,42
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.cee.operation.transaction.request.generator.assembler.structure.insureditem.PersistedItemIntegrationTest,17,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.customitem.summary.SummaryMessageCreator,14,0
au.com.cgu.cudos.offeringmanager.service.offering.structure.question.QuestionInitialiser,14,0
au.com.cgu.cudosui.sample.clean.web.ui.flow.initialisation.policy.operation.channel.staff.copy.snapshot.CopyTransactionController,15,0
au.com.cgu.cudosui.sample.clean.web.ui.flow.main.nongui.cee.operation.transaction.submitter.AbstractRenewalCloseHandler,25,0
au.com.cgu.cudos.spike.webapps.web.controller.TemporaryGlobalIdCreator,28,0
au.com.cgu.cudosui.sample.clean.model.ui.channel.ChannelType,0,52
au.com.cgu.cudosui.sample.clean.service.ui.flow.initialisation.policy.operation.common.renewal.preprocess.PreprocessRenewalInitialiser,12,5
au.com.cgu.cudos.database.crud.service.create.execute.table.with.generatedkeys.with.children.relationship.ChildrenRowGeneratedValueUpdater,11,1
au.com.cgu.cudosui.sample.clean.service.ui.flow.initialisation.policy.operation.channel.staff.transaction.swiitch.newbusiness.SwitchNewBusinessInitialiser,12,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.policy.builder.cancellation.SuspendedCancellationPolicyUpdater,16,3
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.cee.operation.transaction.request.generator.policy.structure.location.risk.premiumclass.item.InsuredItemGenerator,14,0
au.com.cgu.cudosui.sample.clean.model.ui.policy.structure.common.variablequestion.VariableQuestion,3,22
au.com.cgu.cudosui.sample.clean.integration.common.repository.converters.DateTimeToXMLDate,1,15
