Call Tree,Time (ms),Own Time (ms),Level
QuestionNodeRetrieverOptimised.java:113 au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.cee.operation.transaction.request.generator.assembler.QuestionNodeRetrieverOptimised.fetchQuestionNodes(CeeTransactionParameter),4668,0,39
QuestionNodeRetrieverOptimised.java:129 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.extractQuestions(URL:List),4668,0,40
ExtractionServiceOptimised.java:106 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.extractQuestionNodes(ExtractedQuestionNodesOptimised:ExtractionServiceContext:Description),2870,0,41
ExtractionServiceOptimised.java:115 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.buildQuestionTree(Element:QuestionNodeOptimised:ExtractionServiceContext),2870,0,42
ExtractionServiceOptimised.java:234 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.processComplexType(Element:QuestionNodeOptimised:ExtractionServiceContext),2870,0,43
ExtractionServiceOptimised.java:361 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.addChildrenToParent(ExtractionServiceContext:QuestionNodeOptimised:List),2870,0,44
ExtractionServiceOptimised.java:370 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.buildQuestionTree(Element:QuestionNodeOptimised:ExtractionServiceContext),2870,0,45
ExtractionServiceOptimised.java:234 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.processComplexType(Element:QuestionNodeOptimised:ExtractionServiceContext),2870,0,46
ExtractionServiceOptimised.java:361 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.addChildrenToParent(ExtractionServiceContext:QuestionNodeOptimised:List),2870,0,47
ExtractionServiceOptimised.java:370 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.buildQuestionTree(Element:QuestionNodeOptimised:ExtractionServiceContext),2870,0,48
ExtractionServiceOptimised.java:234 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.processComplexType(Element:QuestionNodeOptimised:ExtractionServiceContext),2854,0,49
ExtractionServiceOptimised.java:361 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.addChildrenToParent(ExtractionServiceContext:QuestionNodeOptimised:List),2854,0,50
ExtractionServiceOptimised.java:370 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.buildQuestionTree(Element:QuestionNodeOptimised:ExtractionServiceContext),2854,0,51
ExtractionServiceOptimised.java:234 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.processComplexType(Element:QuestionNodeOptimised:ExtractionServiceContext),2854,0,52
ExtractionServiceOptimised.java:355 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.addExtensions(Element:QuestionNodeOptimised:ExtractionServiceContext),2854,0,53
ExtractionServiceOptimised.java:384 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.addChildrenToParent(ExtractionServiceContext:QuestionNodeOptimised:List),2854,0,54
ExtractionServiceOptimised.java:370 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.buildQuestionTree(Element:QuestionNodeOptimised:ExtractionServiceContext),2854,0,55
ExtractionServiceOptimised.java:234 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.processComplexType(Element:QuestionNodeOptimised:ExtractionServiceContext),2823,0,56
ExtractionServiceOptimised.java:355 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.addExtensions(Element:QuestionNodeOptimised:ExtractionServiceContext),2823,0,57
ExtractionServiceOptimised.java:384 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.addChildrenToParent(ExtractionServiceContext:QuestionNodeOptimised:List),2823,15,58
ExtractionServiceOptimised.java:370 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.buildQuestionTree(Element:QuestionNodeOptimised:ExtractionServiceContext),2808,0,59
ExtractionServiceOptimised.java:234 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.processComplexType(Element:QuestionNodeOptimised:ExtractionServiceContext),2714,0,60
ExtractionServiceOptimised.java:355 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.addExtensions(Element:QuestionNodeOptimised:ExtractionServiceContext),2714,46,61
ExtractionServiceOptimised.java:384 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.addChildrenToParent(ExtractionServiceContext:QuestionNodeOptimised:List),2574,202,62
ExtractionServiceOptimised.java:370 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.buildQuestionTree(Element:QuestionNodeOptimised:ExtractionServiceContext),2371,15,63
ExtractionServiceOptimised.java:237 org.ow2.easywsdl.schema.impl.ElementImpl.getQName(),1404,93,64
ElementImpl.java:106 org.ow2.easywsdl.schema.api.abstractElmt.AbstractSchemaElementImpl.getSchema(),842,842,65
AbstractSchemaElementImpl.java:170,842,842,66
ElementImpl.java:109 org.ow2.easywsdl.schema.api.abstractElmt.AbstractSchemaElementImpl.getSchema(),358,358,65
AbstractSchemaElementImpl.java:170,358,358,66
ElementImpl.java:106 org.ow2.easywsdl.schema.api.extensions.NamespaceMapperImpl.getPrefix(String),109,62,65
NamespaceMapperImpl.java:126 java.util.HashMap$EntrySet.iterator(),46,46,66
NamespaceMapperImpl.java:129,46,46,66
NamespaceMapperImpl.java:127,15,15,66
ElementImpl.java:106,62,62,65
ElementImpl.java:96,31,31,65
ExtractionServiceOptimised.java:234 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.processComplexType(Element:QuestionNodeOptimised:ExtractionServiceContext),780,15,64
ExtractionServiceOptimised.java:361 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.addChildrenToParent(ExtractionServiceContext:QuestionNodeOptimised:List),702,280,65
ExtractionServiceOptimised.java:370 au.com.cgu.cudos.request.builder.service.ExtractionServiceOptimised.buildQuestionTree(Element:QuestionNodeOptimised:ExtractionServiceContext),421,0,66
ExtractionServiceOptimised.java:237 org.ow2.easywsdl.schema.impl.ElementImpl.getQName(),374,15,67
ElementImpl.java:106 org.ow2.easywsdl.schema.api.abstractElmt.AbstractSchemaElementImpl.getSchema(),265,265,68
AbstractSchemaElementImpl.java:170,265,265,69
ElementImpl.java:109 org.ow2.easywsdl.schema.api.abstractElmt.AbstractSchemaElementImpl.getSchema(),78,78,68
AbstractSchemaElementImpl.java:170,78,78,69
ElementImpl.java:106 org.ow2.easywsdl.schema.api.extensions.NamespaceMapperImpl.getPrefix(String),15,0,68
NamespaceMapperImpl.java:126 java.util.HashMap$EntrySet.iterator(),15,15,69
ElementImpl.java:106,15,15,68
